anio,motos,autos,proporcion,ingreso,tasa
2005,9513,182849,0.052026536,10641.50,29.75476189
2006,13022,206126,0.063174951,10853.52,29.76666269
2007,16463,224548,0.073316173,11104.32,27.47768169
2008,20047,246873,0.081203696,10470.82,27.4341474
2009,21926,258563,0.084799449,9757.53,27.41947575
2010,23775,271668,0.087514908,9508.85,26.03357635
2011,27035,286121,0.094487996,9575.45,26.68064199
2012,33325,303233,0.109898989,9278.97,26.39473916
2013,42411,323797,0.130980213,9197.67,28.09144029
2014,52858,346748,0.152439235,9300.91,27.66214389
2015,68076,379114,0.179566041,9483.39,26.816959
2016,82199,408814,0.201066989,9618.26,27.18345658
2017,98087,433735,0.226144996,9487.85,27.88784146
2018,105147,443038,0.237331786,9609.05,28.08319856
2019,124913,464775,0.268760153,9935.95,28.85740751
2020,135620,474491,0.28582207,9703.06,28.65222304
2021,146738,485925,0.301976642,9614.81,29.08136315
2022,164083,479469,0.342218162,9623.72,29.53024676
2023,189801,497686,0.381366966,10076.46,28.03596674
2024,220049,485801,0.452961192,10373.63,29.37544268
